achieved_count,achieved_share,extra_count,missing_count,subtype,target_count,target_share
16,0.06666666666666667,0,0,object_relative_clause_plural_embedded_that,16,0.06666666666666667
16,0.06666666666666667,0,0,object_relative_clause_plural_embedded_who,16,0.06666666666666667
16,0.06666666666666667,0,0,object_relative_clause_that,16,0.06666666666666667
16,0.06666666666666667,0,0,object_relative_clause_who,16,0.06666666666666667
16,0.06666666666666667,0,0,plural_object_relative_clause_that,16,0.06666666666666667
10,0.041666666666666664,0,0,pp_plural_attractor_behind,10,0.041666666666666664
10,0.041666666666666664,0,0,pp_plural_attractor_beside,10,0.041666666666666664
10,0.041666666666666664,0,0,pp_plural_attractor_near,10,0.041666666666666664
10,0.041666666666666664,0,0,pp_plural_attractor_with,10,0.041666666666666664
10,0.041666666666666664,0,0,pp_singular_attractor_behind,10,0.041666666666666664
10,0.041666666666666664,0,0,pp_singular_attractor_beside,10,0.041666666666666664
10,0.041666666666666664,0,0,pp_singular_attractor_near,10,0.041666666666666664
10,0.041666666666666664,0,0,pp_singular_attractor_with,10,0.041666666666666664
40,0.16666666666666666,0,0,simple_plural,40,0.16666666666666666
40,0.16666666666666666,0,0,simple_singular,40,0.16666666666666666
