hf_distilgpt2,hf_gpt2,hf_tiny_gpt2,mean_across_models,subtype
0.3,0.5,0.2,0.3333333333333333,pp_plural_attractor_behind
0.3,0.6,0.7,0.5333333333333333,pp_plural_attractor_near
0.4375,0.625,0.625,0.5625,object_relative_clause_plural_embedded_who
0.5,0.75,0.625,0.625,object_relative_clause_plural_embedded_that
0.75,0.8125,0.375,0.6458333333333334,object_relative_clause_that
0.875,0.75,0.375,0.6666666666666666,object_relative_clause_who
0.7,0.8,0.5,0.6666666666666666,pp_plural_attractor_with
0.875,0.9375,0.25,0.6875,plural_object_relative_clause_that
0.9,0.8,0.4,0.7000000000000001,pp_singular_attractor_with
0.9,1.0,0.3,0.7333333333333333,pp_singular_attractor_behind
0.9,0.7,0.6,0.7333333333333334,pp_plural_attractor_beside
0.725,0.925,0.625,0.7583333333333333,simple_singular
0.9,1.0,0.4,0.7666666666666666,pp_singular_attractor_near
1.0,1.0,0.4,0.7999999999999999,pp_singular_attractor_beside
1.0,1.0,0.425,0.8083333333333332,simple_plural
