hf_distilgpt2,hf_gpt2,hf_tiny_gpt2,mean_across_models,subtype
0.7,0.5,0.8,0.6666666666666666,pp_plural_attractor_behind
0.7,0.4,0.3,0.46666666666666673,pp_plural_attractor_near
0.5625,0.375,0.375,0.4375,object_relative_clause_plural_embedded_who
0.5,0.25,0.375,0.375,object_relative_clause_plural_embedded_that
0.25,0.1875,0.625,0.3541666666666667,object_relative_clause_that
0.125,0.25,0.625,0.3333333333333333,object_relative_clause_who
0.3,0.2,0.5,0.3333333333333333,pp_plural_attractor_with
0.125,0.0625,0.75,0.3125,plural_object_relative_clause_that
0.1,0.2,0.6,0.3,pp_singular_attractor_with
0.1,0.3,0.4,0.26666666666666666,pp_plural_attractor_beside
0.1,0.0,0.7,0.26666666666666666,pp_singular_attractor_behind
0.275,0.075,0.375,0.2416666666666667,simple_singular
0.1,0.0,0.6,0.2333333333333333,pp_singular_attractor_near
0.0,0.0,0.6,0.19999999999999998,pp_singular_attractor_beside
0.0,0.0,0.575,0.19166666666666665,simple_plural
